x,y
0,0
0.025,-0.0316269
0.05,-0.0626907
0.075,-0.0931345
0.1,-0.122906
0.125,-0.151959
0.15,-0.180249
0.175,-0.207737
0.2,-0.234387
0.225,-0.260164
0.25,-0.285037
0.275,-0.308978
0.3,-0.331959
0.325,-0.353954
0.35,-0.374938
0.375,-0.394888
0.4,-0.413781
0.425,-0.431596
0.45,-0.448311
0.475,-0.463907
0.5,-0.478366
0.525,-0.491668
0.55,-0.503797
0.575,-0.514738
0.6,-0.524477
0.625,-0.533001
0.65,-0.5403
0.675,-0.546367
0.7,-0.551196
0.725,-0.554787
0.75,-0.557139
0.775,-0.55826
0.8,-0.558158
0.825,-0.556846
0.85,-0.554344
0.875,-0.550674
0.9,-0.545864
0.925,-0.539945
0.95,-0.532956
0.975,-0.524936
1,-0.51593
1.025,-0.505987
1.05,-0.495157
1.075,-0.483495
1.1,-0.471057
1.125,-0.457899
1.15,-0.44408
1.175,-0.429659
1.2,-0.414693
1.225,-0.39924
1.25,-0.383359
1.275,-0.367104
1.3,-0.350531
1.325,-0.333691
1.35,-0.316636
1.375,-0.299414
1.4,-0.282071
1.425,-0.264653
1.45,-0.247199
1.475,-0.229749
1.5,-0.212339
1.525,-0.195004
1.55,-0.177774
1.575,-0.160677
1.6,-0.14374
1.625,-0.126986
1.65,-0.110436
1.675,-0.0941072
1.7,-0.078016
1.725,-0.062176
1.75,-0.0465982
1.775,-0.031292
1.8,-0.0162645
1.825,-0.00152091
1.85,0.0129351
1.875,0.0271016
1.9,0.0409779
1.925,0.054565
1.95,0.0678646
1.975,0.0808799
2,0.0936148
2.025,0.106074
2.05,0.118263
2.075,0.130187
2.1,0.141854
2.125,0.15327
2.15,0.164442
2.175,0.175378
2.2,0.186086
2.225,0.196572
2.25,0.206846
2.275,0.216915
2.3,0.226787
2.325,0.236469
2.35,0.245969
2.375,0.255295
2.4,0.264453
2.425,0.273452
2.45,0.282296
2.475,0.290994
2.5,0.299551
2.525,0.307972
2.55,0.316263
2.575,0.324428
2.6,0.332473
2.625,0.3404
2.65,0.348214
2.675,0.355917
2.7,0.363511
2.725,0.370998
2.75,0.378381
2.775,0.385658
2.8,0.392832
2.825,0.399901
2.85,0.406866
2.875,0.413725
2.9,0.420477
2.925,0.42712
2.95,0.433652
2.975,0.440072
3,0.446377
3.025,0.452564
3.05,0.458631
3.075,0.464575
3.1,0.470393
3.125,0.476083
3.15,0.481641
3.175,0.487066
3.2,0.492354
3.225,0.497503
3.25,0.502511
3.275,0.507374
3.3,0.512091
3.325,0.51666
3.35,0.521078
